family,params,seed,n,m,solver_type,preprocessing_enabled,propagation_enabled,lower_bound_type,optimal_cover_size,runtime_seconds,nodes_explored,nodes_pruned,max_depth,forced_assignments,preprocessing_reductions,vertices_removed_by_preprocessing,root_lower_bound,finished
erdos_renyi,"n=15, p=0.3",1024,15,28,improved,True,True,maximal_matching,9,0.000228,9,4,4,14,31,18,7,True
erdos_renyi,"n=15, p=0.5",42,15,52,baseline,False,False,trivial,10,0.00718,953,472,15,0,0,0,0,True
erdos_renyi,"n=15, p=0.5",42,15,52,improved,True,True,maximal_matching,10,0.000352,13,6,6,40,26,15,7,True
erdos_renyi,"n=15, p=0.5",123,15,63,baseline,False,False,trivial,11,0.005732,671,332,15,0,0,0,0,True
erdos_renyi,"n=15, p=0.5",123,15,63,improved,True,True,maximal_matching,11,0.000453,17,8,8,56,32,20,7,True
erdos_renyi,"n=15, p=0.5",256,15,59,baseline,False,False,trivial,11,0.006837,733,363,15,0,0,0,0,True
erdos_renyi,"n=15, p=0.5",256,15,59,improved,True,True,maximal_matching,11,0.000447,17,8,8,52,24,16,7,True
erdos_renyi,"n=15, p=0.5",789,15,55,baseline,False,False,trivial,11,0.006401,767,380,15,0,0,0,0,True
erdos_renyi,"n=15, p=0.5",789,15,55,improved,True,True,maximal_matching,11,0.000444,17,8,8,50,26,16,7,True
erdos_renyi,"n=15, p=0.5",1024,15,51,baseline,False,False,trivial,10,0.006519,815,403,15,0,0,0,0,True
erdos_renyi,"n=15, p=0.5",1024,15,51,improved,True,True,maximal_matching,10,0.00031,11,5,5,36,17,9,7,True
erdos_renyi,"n=20, p=0.2",42,20,37,baseline,False,False,trivial,11,0.031676,4559,2271,20,0,0,0,0,True
erdos_renyi,"n=20, p=0.2",42,20,37,improved,True,True,maximal_matching,11,0.0003,9,4,4,19,43,26,9,True
erdos_renyi,"n=20, p=0.2",123,20,43,baseline,False,False,trivial,11,0.038953,5213,2598,20,0,0,0,0,True
erdos_renyi,"n=20, p=0.2",123,20,43,improved,True,True,maximal_matching,11,0.000454,9,4,4,21,42,25,9,True
erdos_renyi,"n=20, p=0.2",256,20,45,baseline,False,False,trivial,11,0.064283,8763,4373,20,0,0,0,0,True
erdos_renyi,"n=20, p=0.2",256,20,45,improved,True,True,maximal_matching,11,0.000312,7,3,3,18,30,17,8,True
erdos_renyi,"n=20, p=0.2",789,20,37,baseline,False,False,trivial,10,0.067334,9519,4750,20,0,0,0,0,True
erdos_renyi,"n=20, p=0.2",789,20,37,improved,True,True,maximal_matching,10,0.000216,5,2,2,11,33,18,8,True
erdos_renyi,"n=20, p=0.2",1024,20,40,baseline,False,False,trivial,12,0.050104,7239,3612,20,0,0,0,0,True
erdos_renyi,"n=20, p=0.2",1024,20,40,improved,True,True,maximal_matching,12,0.000328,9,4,4,19,40,22,9,True
erdos_renyi,"n=20, p=0.3",42,20,67,baseline,False,False,trivial,13,0.023464,2529,1258,20,0,0,0,0,True
erdos_renyi,"n=20, p=0.3",42,20,67,improved,True,True,maximal_matching,13,0.000584,17,8,7,51,53,32,9,True
erdos_renyi,"n=20, p=0.3",123,20,56,baseline,False,False,trivial,12,0.034688,4233,2109,20,0,0,0,0,True
erdos_renyi,"n=20, p=0.3",123,20,56,improved,True,True,maximal_matching,12,0.00035,9,4,4,30,44,24,9,True
erdos_renyi,"n=20, p=0.3",256,20,65,baseline,False,False,trivial,13,0.032274,3599,1793,20,0,0,0,0,True
erdos_renyi,"n=20, p=0.3",256,20,65,improved,True,True,maximal_matching,13,0.000538,15,7,7,48,49,28,9,True
erdos_renyi,"n=20, p=0.3",789,20,53,baseline,False,False,trivial,12,0.071159,8981,4483,20,0,0,0,0,True
erdos_renyi,"n=20, p=0.3",789,20,53,improved,True,True,maximal_matching,12,0.00033,9,4,4,27,26,14,8,True
erdos_renyi,"n=20, p=0.3",1024,20,58,baseline,False,False,trivial,13,0.046538,5611,2799,20,0,0,0,0,True
erdos_renyi,"n=20, p=0.3",1024,20,58,improved,True,True,maximal_matching,13,0.000509,15,7,6,41,36,21,9,True
erdos_renyi,"n=20, p=0.5",42,20,98,baseline,False,False,trivial,15,0.022439,2045,1018,20,0,0,0,0,True
erdos_renyi,"n=20, p=0.5",42,20,98,improved,True,True,maximal_matching,15,0.001454,23,11,11,89,57,34,10,True
erdos_renyi,"n=20, p=0.5",123,20,101,baseline,False,False,trivial,15,0.020149,1659,825,20,0,0,0,0,True
erdos_renyi,"n=20, p=0.5",123,20,101,improved,True,True,maximal_matching,15,0.000894,21,10,10,89,45,27,10,True
erdos_renyi,"n=20, p=0.5",256,20,102,baseline,False,False,trivial,15,0.018745,1623,807,20,0,0,0,0,True
erdos_renyi,"n=20, p=0.5",256,20,102,improved,True,True,maximal_matching,15,0.000958,23,11,11,91,48,27,9,True
erdos_renyi,"n=20, p=0.5",789,20,105,baseline,False,False,trivial,15,0.021313,1813,902,20,0,0,0,0,True
erdos_renyi,"n=20, p=0.5",789,20,105,improved,True,True,maximal_matching,15,0.000889,21,10,10,91,30,16,9,True
erdos_renyi,"n=20, p=0.5",1024,20,104,baseline,False,False,trivial,15,0.023824,2151,1071,20,0,0,0,0,True
erdos_renyi,"n=20, p=0.5",1024,20,104,improved,True,True,maximal_matching,15,0.000943,23,11,11,95,50,30,10,True
erdos_renyi,"n=25, p=0.2",42,25,57,baseline,False,False,trivial,14,0.463905,49865,24922,25,0,0,0,0,True
erdos_renyi,"n=25, p=0.2",42,25,57,improved,True,True,maximal_matching,14,0.000303,7,3,3,13,32,16,10,True
erdos_renyi,"n=25, p=0.2",123,25,68,baseline,False,False,trivial,13,0.256505,25417,12697,25,0,0,0,0,True
erdos_renyi,"n=25, p=0.2",123,25,68,improved,True,True,maximal_matching,13,0.000243,5,2,2,12,30,17,12,True
erdos_renyi,"n=25, p=0.2",256,25,63,baseline,False,False,trivial,14,0.331021,35685,17832,25,0,0,0,0,True
erdos_renyi,"n=25, p=0.2",256,25,63,improved,True,True,maximal_matching,14,0.000452,9,4,4,28,46,25,12,True
erdos_renyi,"n=25, p=0.2",789,25,62,baseline,False,False,trivial,15,0.592545,65745,32863,25,0,0,0,0,True
erdos_renyi,"n=25, p=0.2",789,25,62,improved,True,True,maximal_matching,15,0.000656,15,6,7,36,75,41,11,True
erdos_renyi,"n=25, p=0.2",1024,25,63,baseline,False,False,trivial,15,0.407528,42989,21485,25,0,0,0,0,True
erdos_renyi,"n=25, p=0.2",1024,25,63,improved,True,True,maximal_matching,15,0.000467,11,5,5,29,59,32,11,True
erdos_renyi,"n=25, p=0.3",42,25,105,baseline,False,False,trivial,17,0.214131,17081,8533,25,0,0,0,0,True
erdos_renyi,"n=25, p=0.3",42,25,105,improved,True,True,maximal_matching,17,0.001231,29,13,11,98,88,51,12,True
erdos_renyi,"n=25, p=0.3",123,25,93,baseline,False,False,trivial,16,0.216919,18119,9051,25,0,0,0,0,True
erdos_renyi,"n=25, p=0.3",123,25,93,improved,True,True,maximal_matching,16,0.000797,15,7,7,59,74,39,12,True
erdos_renyi,"n=25, p=0.3",256,25,94,baseline,False,False,trivial,17,0.17779,13521,6753,25,0,0,0,0,True
erdos_renyi,"n=25, p=0.3",256,25,94,improved,True,True,maximal_matching,17,0.00098,21,10,10,72,71,39,11,True
erdos_renyi,"n=25, p=0.3",789,25,91,baseline,False,False,trivial,17,0.319763,29517,14751,25,0,0,0,0,True
erdos_renyi,"n=25, p=0.3",789,25,91,improved,True,True,maximal_matching,17,0.001318,19,9,9,63,47,25,12,True
erdos_renyi,"n=25, p=0.3",1024,25,89,baseline,False,False,trivial,17,0.327423,29183,14584,25,0,0,0,0,True
erdos_renyi,"n=25, p=0.3",1024,25,89,improved,True,True,maximal_matching,17,0.001095,25,12,9,81,98,54,11,True
erdos_renyi,"n=25, p=0.5",42,25,151,baseline,False,False,trivial,19,0.112768,7245,3617,25,0,0,0,0,True
erdos_renyi,"n=25, p=0.5",42,25,151,improved,True,True,maximal_matching,19,0.001584,31,14,15,138,59,34,12,True
erdos_renyi,"n=25, p=0.5",123,25,162,baseline,False,False,trivial,20,0.080585,4935,2463,25,0,0,0,0,True
erdos_renyi,"n=25, p=0.5",123,25,162,improved,True,True,maximal_matching,20,0.001686,33,16,15,157,75,43,12,True
erdos_renyi,"n=25, p=0.5",256,25,154,baseline,False,False,trivial,19,0.067551,4283,2136,25,0,0,0,0,True
erdos_renyi,"n=25, p=0.5",256,25,154,improved,True,True,maximal_matching,19,0.001659,33,15,16,146,45,27,11,True
erdos_renyi,"n=25, p=0.5",789,25,165,baseline,False,False,trivial,20,0.074374,4485,2238,25,0,0,0,0,True
erdos_renyi,"n=25, p=0.5",789,25,165,improved,True,True,maximal_matching,20,0.001765,33,16,16,155,40,24,12,True
erdos_renyi,"n=25, p=0.5",1024,25,161,baseline,False,False,trivial,19,0.076447,4691,2340,25,0,0,0,0,True
erdos_renyi,"n=25, p=0.5",1024,25,161,improved,True,True,maximal_matching,19,0.001798,29,14,14,147,45,26,12,True
