family,params,seed,n,m,solver_type,preprocessing_enabled,propagation_enabled,lower_bound_type,optimal_cover_size,runtime_seconds,nodes_explored,nodes_pruned,max_depth,forced_assignments,preprocessing_reductions,vertices_removed_by_preprocessing,root_lower_bound,finished,threshold_trajectory
erdos_renyi,"n=10, p=0.2",1024,10,10,enhanced_emulation,True,True,maximal_matching,5,0.000189,4,0,0,0,0,0,0,True,"[(1, 8.0, 1), (1, 12.0, 1), (1, 14.0, 1), (1, 15.0, 1)]"
erdos_renyi,"n=10, p=0.3",42,10,17,baseline,False,False,trivial,6,0.000956,239,116,10,0,0,0,0,True,[]
erdos_renyi,"n=10, p=0.3",42,10,17,improved,True,True,maximal_matching,6,9.4e-05,5,2,2,8,11,6,4,True,[]
erdos_renyi,"n=10, p=0.3",42,10,17,raw_emulation,False,False,trivial,6,0.016693,398,0,0,0,0,0,0,True,"[(8, 1.0, 7), (16, 2.0, 14), (32, 4.0, 48), (64, 4.0, 48), (64, 5.0, 88), (128, 4.0, 48), (128, 6.0, 145)]"
erdos_renyi,"n=10, p=0.3",42,10,17,ablation_prep,True,True,trivial,6,0.001918,23,0,0,0,0,0,0,True,"[(2, 2.0, 3), (4, 8.0, 5), (4, 12.0, 5), (4, 14.0, 5), (4, 15.0, 5)]"
erdos_renyi,"n=10, p=0.3",42,10,17,ablation_prep_lb,True,True,maximal_matching,6,0.001444,24,0,0,0,0,0,0,True,"[(1, 2.0, 1), (1, 3.0, 1), (2, 4.0, 2), (4, 8.0, 5), (4, 12.0, 5), (4, 14.0, 5), (4, 15.0, 5)]"
erdos_renyi,"n=10, p=0.3",42,10,17,enhanced_emulation,True,True,maximal_matching,6,0.001522,24,0,0,0,0,0,0,True,"[(1, 2.0, 1), (1, 3.0, 1), (2, 4.0, 2), (4, 8.0, 5), (4, 12.0, 5), (4, 14.0, 5), (4, 15.0, 5)]"
erdos_renyi,"n=10, p=0.3",123,10,14,baseline,False,False,trivial,5,0.000443,119,55,10,0,0,0,0,True,[]
erdos_renyi,"n=10, p=0.3",123,10,14,improved,True,True,maximal_matching,5,4.7e-05,3,1,1,2,9,5,4,True,[]
erdos_renyi,"n=10, p=0.3",123,10,14,raw_emulation,False,False,trivial,5,0.007894,221,0,0,0,0,0,0,True,"[(4, 1.0, 5), (8, 2.0, 11), (16, 2.0, 11), (16, 3.0, 23), (32, 4.0, 44), (64, 4.0, 44), (64, 5.0, 83)]"
